Job,Budgeted_Cost,Yearly_Revenue,Current_Profit,Customers
SRPM,,11100,0.02,9
Not PM,,200,,1
PM,7000,1900,0.07,4
PM,2100,900,-0.01,10
SRPM,3000,1300,0.26,3
PM,2300,500,0.02,2
PM,3800,900,0.11,4
PM,1600,400,0.01,3
Not PM,128900,33300,-0.06,2
PM,3500,700,-0.02,5
PM,400,,0.04,1
Not PM,200,,-0.07,4
PMit,1200,200,0.01,2
Not PM,6900,1800,0.03,5
PM,600,,0.11,1
PM,5300,1800,0.01,3
SRPM,2000,100,0.11,2
PM,1400,400,0.08,17
PM,1000,700,0.12,3
Not PM,,,,1
Not PM,,,,1
PM,1400,800,0.04,5
Not PM,50000,7700,0.14,6
SRPM,,,,1
Not PM,23000,8900,0.05,4
PM,11000,1300,0.07,5
PM,1500,200,0.1,11
Not PM,,,,1
Not PM,3500,400,-0.01,7
Not PM,,,0.36,4
SRPM,,,-1,4
Not PM,7800,900,-0.21,18
PM,2000,300,0.06,14
PM,100,,0.43,3
Not PM,,,,2
SRPM,500,300,,6
PM,200,200,0.08,2
Not PM,8600,700,0.05,2
Not PM,400,100,0.08,3
SRPM,1900,300,0.07,1
SRPM,,100,-0.03,1
PM,600,400,0.08,1
SRPM,15300,6500,0.12,1
SRPM,1500,1000,-0.14,6
SRPM,1300,1300,0.01,4
Not PM,1500,600,0.08,3
PM,400,200,0.02,9
PM,4200,800,0.1,5
Not PM,100,,0.08,1
Not PM,211900,800,-0.36,4
Not PM,500,300,0.1,2
TSKM,,,,1
PM,800,300,0.06,7
PM,3700,2500,0.12,2
Not PM,,,-1,1
SRPM,3200,700,0.01,3
SRPM,3800,300,0.03,2
PM,100,,0.18,2
Not PM,200,,0.09,2
Not PM,17500,2700,,4
SRPM,13000,1800,0.12,5
SRPM,500,100,0.14,2
SRPM,10100,,-0.01,2
Not PM,3300,1200,0.03,5
SRPM,23200,700,0.01,4
SRPM,1900,700,0.07,10
SRPM,3500,1500,-0.91,7
SRPM,1200,500,0.05,6
SRPM,14900,3600,0.1,11
Not PM,1100,800,0.05,11
SRPM,400,200,0.07,8
PM,,,0.09,3
Not PM,37100,,-1,2
Not PM,6000,3100,0.04,1
PM,400,100,0.02,5
PM,,,,1
Not PM,101000,27600,0.04,9
SRPM,600,200,0.08,2
SRPM,1800,-100,-0.19,3
SRPM,21500,1900,0.14,1
SRPM,2300,,0.08,6
PM,100,,0.1,1
PM,4600,1200,0.03,7
Not PM,109600,6600,-0.05,2
SRPM,1100,200,0.11,4
SRPM,2400,1100,0.02,5
SRPM,1800,100,0.25,2
SRPM,5500,2000,0.17,3
Not PM,3000,700,0.11,4
PM,,,0.13,3
PM,500,100,0.09,7
SRPM,3900,2400,0.15,4
SRPM,33500,700,0.09,5
SRPM,6800,1700,0.02,4
SRPM,5100,1100,0.05,3
PM,3100,1200,0.02,6
PM,1100,300,0.06,2
Not PM,96100,7500,0.02,4
SRPM,1600,700,0.04,5
SRPM,200,100,-0.2,2
PM,300,100,0.14,4
PM,3300,900,-0.08,8
SRPM,3700,1100,0.03,6
PM,1400,1100,0.07,3
Not PM,,,-1,1
Not PM,,,0.83,2
PM,3400,500,0.01,12
SRPM,,,,1
SRPM,2400,200,0.08,4
PM,300,100,0.07,4
Not PM,1700,700,0.16,4
PM,300,100,-0.42,6
Not PM,,,,1
PM,200,100,0.14,2
SRPM,1800,700,0.01,3
PMit,1300,,0.08,4
SRPM,600,300,0.07,7
PM,900,100,0.07,2
SRPM,1000,100,0.07,3
PM,400,100,,7
SRPM,,,,1
PM,1300,700,0.06,8
SRPM,3400,800,-0.11,6
SRPM,100,,-0.12,3
SRPM,3400,500,0.05,1
Not PM,2600,,-0.09,2
Not PM,,,,1
Not PM,3200,600,0.04,4
SRPM,4000,2200,0.05,4
PM,,,,2
PM,,,,1
SRPM,700,200,0.07,5
SRPM,11900,1600,0.06,3
PM,3000,600,0.07,3
PM,100,,0.07,1
SRPM,12600,3600,0.09,6
PM,5000,1300,0.18,2
Not PM,100,,0.1,1
Not PM,3500,300,0.16,1
SRPM,2000,1100,0.11,8
Not PM,2100,1000,0.06,5
PM,,,,2
PM,,,0.15,4
TSKM,,,,1
SRPM,7200,1900,0.08,10
SRPM,15200,1900,0.02,17
PM,1300,500,0.13,5
Not PM,,,0.18,3
PM,1500,500,0.25,1
PM,300,,0.08,4
PM,800,300,-0.03,5
PM,800,300,0.17,6
PM,1100,500,0.01,5
SRPM,5400,1500,0.1,5
SRPM,,,0.06,1
PM,,,,1
SRPM,100,,0.02,5
SRPM,42100,3500,0.04,5
PM,400,100,0.13,2
SRPM,100,,0.02,2
PM,2100,800,0.06,8
SRPM,4800,1400,0.03,8
Not PM,8100,1400,0.05,4
SRPM,6900,600,-0.14,9
PM,,,,2
SRPM,3100,1500,0.04,16
PM,400,400,0.1,1
Not PM,900,100,0.05,2
SRPM,1700,900,0.03,5
SRPM,1200,300,-0.04,6
Not PM,,,,2
PM,700,400,0.08,2
PM,4500,1800,0.04,5
PM,1200,800,0.03,4
PM,500,100,0.04,4
PM,100,100,0.08,5
SRPM,900,100,0.15,2
Not PM,800,,0.31,1
SRPM,18900,7700,0.74,6
Not PM,89000,4500,-0.03,1
PM,100,,0.07,4
PM,100,100,-0.02,7
PM,100,100,0.1,1
SRPM,8200,800,0.05,10
Not PM,2200,100,,2
SRPM,3800,1300,0.11,5
SRPM,2400,200,-0.06,3
SRPM,12300,8000,0.16,1
PM,1400,400,0.03,11
SRPM,2600,200,-0.04,3
SRPM,3800,1000,-0.07,4
PM,400,100,-0.08,10
Not PM,600,100,0.08,1
Not PM,100,100,-0.1,1
SRPM,13200,3400,,9
Not PM,200,,0.04,2
PM,200,200,0.08,4
SRPM,2900,900,0.05,5
PM,500,300,0.13,1
PM,1700,1700,0.09,1
Not PM,,,,1
SRPM,5900,1500,0.14,13
SRPM,3600,1500,0.07,1
SRPM,100,,0.41,3
PM,3100,400,-0.03,3
SRPM,8300,2100,0.14,7
PM,700,200,0.1,2
PM,800,300,0.09,2
PM,2000,300,0.09,6
PM,200,200,0.17,2
Not PM,100,,0.02,3
PM,1100,300,0.01,8
SRPM,7200,700,,4
SRPM,16100,1800,0.03,6
SRPM,4500,800,0.15,1
PM,1900,100,0.06,3
SRPM,300,100,-0.01,5
Not PM,19900,1800,-0.04,1
SRPM,10700,2800,0.11,1
PM,100,,0.04,5
SRPM,14500,200,-0.02,1
SRPM,1300,1000,0.06,3
Not PM,8600,3600,-0.04,3
PM,2000,1400,0.04,8
SRPM,3000,1900,0.07,15
Not PM,,500,-0.29,2
Not PM,1000,500,0.04,4
TSKM,,,,1
SRPM,1100,100,0.1,2
PM,300,100,0.1,13
Not PM,,,,1
SRPM,2700,1100,0.05,12
PM,18300,2700,0.09,2
PM,2200,800,0.08,2
Not PM,14000,,0.06,2
Not PM,2100,,0.12,1
SRPM,300,100,-0.59,3
Not PM,500,,0.13,1
Not PM,,,-1,1
PM,5200,500,0.03,3
PM,400,100,0.07,2
SRPM,,,0.15,4
PM,1900,400,0.2,2
PM,2500,900,0.04,9
PM,2800,400,0.06,4
PM,600,100,0.09,4
SRPM,700,,0.06,2
SRPM,800,800,0.1,1
SRPM,1600,500,0.04,7
SRPM,4300,200,-0.3,5
TSKM,,,,1
SRPM,3100,1400,0.04,5
Not PM,,,,1
SRPM,6600,1100,0.09,1
SRPM,5400,1200,0.1,7
SRPM,2600,1000,0.1,3
Not PM,,,,2
PM,2500,200,0.12,4
PM,100,,-0.24,4
SRPM,1800,300,0.07,3
PM,4200,600,0.02,3
SRPM,3500,1200,0.05,5
PM,2000,200,0.06,5
PM,1900,600,0.02,6
PM,100,,0.1,3
PM,500,,-0.12,4
PM,1600,300,0.16,2
PM,11000,1300,0.06,2
SRPM,10500,2800,0.05,8
PM,1000,300,0.05,6
Not PM,1200,600,-0.12,1
SRPM,3100,,0.06,4
SRPM,4000,800,0.03,3
Not PM,100,,0.03,2
Not PM,,,,5
PM,1500,800,0.06,9
PM,1300,800,0.19,1
SRPM,,,,1
SRPM,6500,700,0.05,5
SRPM,1100,300,0.07,9
SRPM,4100,1400,-0.01,1
Not PM,1800,500,0.07,1
Not PM,3200,,-0.01,5
Not PM,3100,600,0.08,1
PM,1400,300,0.08,2
SRPM,4600,100,0.02,5
PM,1200,100,-0.15,5
SRPM,3200,1000,0.04,4
PM,800,300,0.05,5
PMit,500,200,0.02,2
PM,3300,2200,0.05,5
SRPM,7100,1400,0.08,6
Not PM,100,,0.06,1
SRPM,700,400,-0.06,13
Not PM,900,,0.07,2
PMit,1400,300,0.05,1
SRPM,900,300,0.07,6
SRPM,9200,1300,0.09,4
SRPM,8900,1600,0.06,2
PM,,,0.03,2
PM,1000,500,-0.23,9
PM,1100,100,-0.02,6
SRPM,900,300,-0.03,9
SRPM,3300,1500,0.08,9
PM,,,0.12,2
Not PM,,,-1,1
PM,,,,1
PM,500,200,0.07,2
PM,700,300,0.08,3
PM,,,,1
PM,700,200,0.08,3
PM,100,,,2
PM,1500,700,0.06,3
Not PM,,,,1
SRPM,1100,800,0.1,11
PM,,,0.04,2
PM,600,200,0.08,2
SRPM,4800,1000,0.03,6
Not PM,1900,500,0.12,2
Not PM,8400,,0.31,3
SRPM,,,-0.11,2
PM,2500,500,0.11,6
PM,,,0.11,1
PM,2200,700,,7
SRPM,2900,600,0.12,5
Not PM,1100,200,0.08,4
Not PM,,,,1
PM,1700,100,0.11,2
Not PM,8400,-100,0.11,1
PM,,,,1
SRPM,39600,8400,0.07,1
Not PM,,,-1,1
PM,1000,500,0.08,6
SRPM,16900,2400,0.05,2
Not PM,,,,1
PMit,4800,600,0.08,2
TSKM,,,,1
Not PM,,,0.04,1
PM,2200,1000,0.06,2
Not PM,3000,1200,0.1,2
SRPM,10100,1200,0.05,17
SRPM,6000,2200,0.04,6
PM,3100,2100,,8
PM,500,100,0.08,11
Not PM,500,300,0.01,5
PM,1100,300,0.01,8
PM,2000,,0.07,5
Not PM,300,200,0.09,4
Not PM,,,,2
PM,100,100,0.06,2
Not PM,,,,1
PM,100,,0.09,3
PM,300,100,0.02,7
SRPM,900,700,0.11,3
PM,900,100,-0.11,7
SRPM,200,,-0.72,1
SRPM,5700,2300,0.03,9
Not PM,,,0.11,1
SRPM,5700,1600,0.07,9
Not PM,2400,700,0.09,6
Not PM,,,1.78,2
Not PM,500,,0.07,2
SRPM,,,,2
PM,,,0.03,1
PM,8500,600,0.11,6
Not PM,,,,4
Not PM,,,-0.12,3
Not PM,1100,100,0.07,1
PM,200,,0.2,3
SRPM,700,500,-0.16,4
SRPM,200,100,0.08,3
SRPM,8600,6600,0.09,11
PM,900,100,0.1,4
SRPM,700,100,,5
SRPM,11600,2000,0.07,1
Not PM,100,,,11
PM,500,200,0.07,1
SRPM,1500,600,0.1,4
PM,2000,100,-0.54,3
PM,500,200,0.07,1
PM,300,,0.12,3
SRPM,3300,800,0.08,2
SRPM,5600,1700,0.03,16
SRPM,4500,600,0.02,2
SRPM,100,100,0.05,1
Not PM,,,,2
Not PM,,,-0.05,3
SRPM,500,100,0.1,1
SRPM,1100,400,0.06,7
SRPM,600,100,0.44,3
PM,1400,200,0.15,2
SRPM,24800,4100,0.07,6
SRPM,,,,1
PM,200,100,0.02,3
SRPM,2000,700,,11
SRPM,10200,800,0.1,4
Not PM,,,,1
PM,,,,1
Not PM,,,,1
PM,700,300,0.07,2
Not PM,1000,500,0.06,3
PM,800,100,0.04,4
PM,5400,100,0.05,5
SRPM,2400,1100,-0.04,8
Not PM,1800,300,0.05,7
Not PM,,,,2
PMit,500,100,0.1,2
SRPM,2100,500,0.12,3
SRPM,4000,2300,0.09,4
PM,200,,0.09,7
SRPM,3200,300,-0.17,1
PM,7900,700,0.05,6
SRPM,8000,1100,0.08,7
PM,,,,1
PM,300,100,0.15,3
SRPM,3400,900,,6
Not PM,100,,0.29,1
PM,600,200,0.12,3
SRPM,6500,2300,0.06,1
SRPM,5600,400,0.06,10
Not PM,100,100,0.03,1
Not PM,1600,900,0.04,2
SRPM,6400,700,0.27,6
TSKM,300,100,0.24,2
SRPM,2200,800,0.11,5
PM,300,100,0.1,3
PM,300,,-0.6,1
PM,600,200,0.1,5
PM,500,500,0.06,2
PMit,500,100,0.01,2
PM,100,,0.05,2
PM,5900,1800,0.09,1
SRPM,6800,3000,0.06,8
Not PM,,,,1
PM,,,,3
Not PM,,,,1
SRPM,,,,2
SRPM,6200,1400,-0.13,5
PM,1900,300,0.01,4
PM,300,100,0.16,1
Not PM,,,,1
SRPM,1100,100,0.09,2
SRPM,3500,600,0.09,4
PM,400,,0.21,1
PM,,,,3
PM,500,100,0.04,2
PM,100,100,-0.01,3
SRPM,2600,500,0.06,7
SRPM,6800,2300,0.05,8
PM,1100,100,0.03,1
PM,400,100,0.11,9
PM,2000,100,0.04,5
SRPM,,,,1
Not PM,100,100,0.08,5
PM,600,600,0.13,4
SRPM,2200,1100,0.1,5
Not PM,2500,500,0.08,4
PM,800,100,0.06,5
PM,100,,0.11,1
PM,300,200,0.1,2
PM,13600,2100,0.09,4
PM,2300,400,0.09,3
SRPM,6700,600,0.08,5
Not PM,600,500,0.03,1
PMit,2400,400,0.07,1
SRPM,,,,1
Not PM,49800,8100,-0.01,4
Not PM,,,,1
Not PM,2100,300,0.05,3
Not PM,1500,900,0.04,1
TSKM,,,0.48,1
Not PM,,,,1
PMit,300,100,0.19,5
Not PM,900,100,0.06,1
SRPM,11700,800,0.04,20
PM,200,,0.05,1
PM,,,,3
PM,100,,-0.07,1
PM,300,100,0.06,4
PM,1300,900,0.05,4
PMit,1400,500,0.19,4
PM,100,,0.01,5
Not PM,12100,4300,0.03,1
SRPM,3700,700,0.14,4
Not PM,,,,2
PMit,100,100,0.27,3
SRPM,4200,800,-0.01,5
PM,100,,-0.15,6
PM,1000,800,-0.01,8
Not PM,1000,900,0.05,2
Not PM,37700,1500,0.03,3
Not PM,100,,0.13,2
Not PM,20100,900,-0.03,5
PM,700,500,0.09,4
Not PM,5100,800,0.08,4
PM,100,,0.14,3
PM,900,400,0.06,4
PMit,5400,1300,0.16,2
PMit,300,,0.01,3
PMit,400,,0.07,2
PMit,500,200,0.11,2
PM,3800,300,0.09,5
PM,700,500,1.12,3
Not PM,500,100,0.03,2
Not PM,,,,1
PMit,100,,0.11,2
PM,,,,1
PM,2700,400,0.07,4
SRPM,3200,3800,0.04,2
PM,1400,500,0.09,12
PMit,100,,0.67,1
Not PM,1200,600,0.06,7
PM,100,,0.1,3
Not PM,,,,2
PMit,1100,400,,3
PM,1000,200,0.05,2
PMit,700,200,0.08,2
PM,,,0.1,3
PM,11400,2400,-0.19,6
PM,3300,1500,0.02,8
SRPM,400,100,0.11,2
SRPM,1600,900,0.01,3
PM,1300,100,0.06,2
SRPM,6800,1500,0.25,1
Not PM,3500,700,0.06,5
SRPM,3400,1600,0.09,8
PM,2900,1300,0.06,3
PMit,,,-1,2
Not PM,200,100,0.03,3
PM,4400,1700,0.1,4
SRPM,20300,500,0.01,3
SRPM,3600,300,0.24,3
PM,2100,700,0.07,5
TSKM,,,,1
PM,100,100,0.04,3
Not PM,,,-1,1
SRPM,5400,1100,0.07,8
Not PM,8600,1300,-0.04,2
Not PM,10400,1800,0.02,3
SRPM,1700,100,0.1,9
PMit,100,100,-0.04,1
Not PM,200,200,0.06,2
PM,500,200,0.09,2
SRPM,2500,200,0.03,2
TSKM,,,0.09,1
PM,400,,-0.09,2
PM,,,,1
Not PM,12700,-1400,0.06,1
TSKM,,,0.23,1
PMit,3000,600,0.08,1
Not PM,500,300,0.11,4
PM,5100,100,0.01,3
PMit,100,,0.12,4
SRPM,13300,13800,0.01,8
PM,7000,1200,-0.07,5
PMit,100,,0.04,3
PM,1100,500,0.06,1
PM,900,400,-0.01,2
PM,1900,1100,-0.01,3
Not PM,,,,1
PM,500,300,0.05,7
Not PM,1200,100,0.11,4
PM,9900,3700,0.05,3
SRPM,3700,1100,0.11,3
Not PM,100,,0.1,2
PM,2300,1000,0.1,1
PMit,2000,100,0.07,3
TSKM,300,,0.12,1
PM,,,0.13,2
PMit,,,,1
Not PM,12700,3600,0.04,3
SRPM,3500,1300,-0.01,8
SRPM,3800,1200,0.06,5
PM,3200,700,0.06,11
PMit,100,100,0.04,4
Not PM,1200,100,0.04,3
SRPM,200,2400,,2
SRPM,,,-0.16,9
SRPM,7000,2000,0.08,6
Not PM,1100,400,0.08,6
SRPM,8800,2700,0.05,11
Not PM,,,,1
SRPM,4400,800,0.1,7
PM,400,100,0.1,3
PMit,300,300,0.07,2
Not PM,100,,0.25,2
Not PM,500,,0.05,4
SRPM,,,-0.27,1
TSKM,1400,600,0.07,1
SRPM,1300,100,0.05,5
PM,400,300,0.07,2
SRPM,5200,800,0.05,5
PM,1600,700,0.07,8
PM,,,,1
PMit,100,,0.06,1
PM,100,,-0.14,3
Not PM,,,,1
PM,100,200,0.04,4
SRPM,1100,600,-0.23,4
PMit,1900,1200,0.04,3
Not PM,1200,300,0.04,2
PM,1100,800,0.14,1
PMit,1100,600,0.08,2
PMit,500,300,0.1,5
PMit,,,,2
PMit,900,300,0.07,5
PMit,900,,0.07,3
Not PM,7300,1600,0.06,3
PM,,,,1
Not PM,,,,2
PM,300,,0.11,2
Not PM,4500,500,0.09,2
Not PM,7200,700,0.11,7
PMit,200,,0.1,1
SRPM,28500,2000,0.03,10
Not PM,,100,0.47,4
TSKM,,100,0.14,1
PM,2700,200,0.12,5
SRPM,1200,600,0.08,2
SRPM,100,100,0.12,2
Not PM,,,-0.02,10
SRPM,4000,800,0.05,9
Not PM,1400,500,0.1,3
PM,1700,1200,-0.02,1
PM,2300,1100,0.07,12
SRPM,18600,2400,0.05,21
SRPM,700,600,0.02,3
SRPM,9400,1700,0.03,3
Not PM,1600,700,0.2,1
Not PM,1000,1000,0.25,1
PM,,,-0.67,2
SRPM,10800,5300,0.08,1
Not PM,,,-0.12,1
PM,300,,-0.02,4
Not PM,3200,900,0.06,6
PMit,600,200,0.07,2
Not PM,1900,600,0.12,2
Not PM,,,,2
Not PM,,,0.05,2
PMit,600,800,0.33,3
Not PM,,,,1
SRPM,3600,1900,0.07,3
Not PM,,,0.18,1
PM,7000,1100,0.03,6
PMit,200,100,0.17,4
Not PM,,,,4
PMit,100,,0.16,1
PM,1700,800,0.05,1
PM,4400,2600,0.03,4
PMit,300,200,0.09,1
Not PM,2800,,0.05,1
Not PM,100,,0.01,2
SRPM,200,,,1
PM,1000,500,0.18,5
SRPM,3500,300,0.11,15
Not PM,11900,2100,-0.03,1
PM,,,,1
PMit,,,,2
Not PM,,,0.06,1
SRPM,80800,7300,0.08,3
PM,,,,1
PM,500,200,0.1,1
SRPM,2800,900,0.05,11
PM,2300,500,0.05,1
PM,400,300,0.33,1
Not PM,1500,200,0.09,3
Not PM,,,,1
PM,300,300,0.03,1
PM,,,,1
Not PM,,,,1
TSKM,900,,-0.05,1
Not PM,17100,200,0.01,6
Not PM,,,,1
SRPM,900,,0.06,4
Not PM,28400,7600,-0.04,1
PM,400,100,-0.13,1
SRPM,200,,0.11,5
Not PM,,,,1
PMit,400,100,0.05,3
PMit,300,200,0.07,3
PM,600,100,-0.08,4
PMit,1500,200,0.08,5
SRPM,10200,3600,0.09,3
SRPM,3200,1700,0.16,2
PMit,1700,500,-0.04,2
SRPM,1700,1200,0.06,6
TSKM,2800,,0.19,2
SRPM,200,,0.06,2
SRPM,,,,1
SRPM,100,100,0.14,1
PM,1200,400,-0.1,5
Not PM,,,-1,1
Not PM,35600,-100,0.04,2
PM,1700,500,-0.03,10
Not PM,71300,7100,0.04,3
PM,600,200,0.12,2
Not PM,2200,2100,0.01,1
SRPM,300,500,-0.36,2
Not PM,4600,3800,0.01,2
Not PM,300,200,0.07,2
TSKM,500,200,0.12,1
Not PM,49100,1200,-0.95,1
Not PM,,,,1
Not PM,,,,2
PMit,100,,0.26,1
PMit,1000,200,0.01,3
PM,1000,200,-0.01,7
Not PM,,,,2
PM,,,,1
SRPM,4200,800,0.03,6
PM,,,,3
Not PM,1000,100,-0.06,1
Not PM,2000,500,0.07,4
Not PM,,,,1
PM,600,100,0.05,10
PM,1200,500,-0.01,10
PM,500,,-0.03,2
PM,800,200,0.12,1
SRPM,300,400,0.15,6
PM,2000,1300,0.04,5
PM,,,0.07,5
PM,2200,1400,0.02,5
PMit,1400,800,0.05,1
PM,9200,900,,9
PM,3000,900,0.06,1
PM,700,400,0.07,6
PM,11200,1300,0.05,13
SRPM,3100,2700,0.19,2
PM,2100,1100,0.06,3
SRPM,3800,400,0.04,7
PM,4300,600,0.01,1
SRPM,800,400,0.23,3
PM,200,,0.08,4
PM,1500,100,0.09,2
SRPM,900,400,0.01,6
SRPM,4500,600,-0.07,16
PM,1600,800,0.07,7
PM,6000,1000,0.02,13
PM,900,300,-0.02,26
SRPM,4800,900,0.04,6
PM,400,200,-0.04,3
SRPM,13500,4800,0.02,9
PM,400,,-0.01,2
Not PM,1600,200,0.07,4
PM,1000,500,0.02,1
SRPM,9000,1600,-0.08,2
Not PM,,,,1
PM,3900,700,-0.11,11
PM,1100,400,0.06,5
Not PM,,,,2
SRPM,3000,200,0.02,4
PM,3700,1200,0.05,2
Not PM,500,300,0.03,3
PM,,,,2
PM,700,,0.06,7
PM,100,100,-0.06,3
SRPM,9600,2200,0.05,5
PM,2000,900,0.02,2
PMit,900,600,0.08,3
PM,,,,4
TSKM,,,0.08,2
PMit,1200,500,0.1,2
PM,300,,0.06,7
PM,1900,1400,0.09,4
SRPM,7900,3200,,1
SRPM,4800,1100,0.05,4
SRPM,5600,1000,-0.01,6
PM,,,-0.01,4
PM,500,300,0.09,2
PM,1900,200,0.05,5
PM,3100,800,0.05,51
PM,300,,-0.02,2
PM,6600,500,0.01,6
SRPM,10600,400,,5
PM,1000,100,-0.17,13
Not PM,1900,1300,0.08,5
PMit,100,100,0.01,2
PM,400,300,-0.06,10
PM,3200,1300,0.03,8
PM,900,800,0.06,1
PM,200,100,0.18,1
PM,700,200,-0.07,6
PMit,,,0.06,1
PMit,1300,500,0.07,2
PM,100,100,0.01,2
PMit,800,300,0.03,2
PM,1000,200,0.07,3
Not PM,5100,800,0.16,6
SRPM,7500,1000,0.05,5
PM,10000,4700,0.11,15
Not PM,100,100,0.06,1
PM,400,100,0.1,2
PM,900,100,0.04,2
PM,2300,1200,0.06,2
PM,300,200,,6
PM,200,,0.08,1
PM,5500,1700,0.05,6
Not PM,,,0.12,1
SRPM,9700,1600,0.05,7
PM,,,,1
SRPM,4200,1100,0.13,6
SRPM,3300,1200,0.06,8
Not PM,2700,900,0.16,3
PMit,1700,800,0.17,2
PM,600,300,0.01,4
PM,,,,1
PM,1400,1000,0.07,6
PM,18500,6100,0.15,6
PM,400,200,0.07,2
PM,3400,1400,0.15,1
Not PM,100,100,0.08,2
Not PM,2000,900,0.11,4
PM,3500,1400,0.1,5
PMit,100,,-0.28,2
Not PM,127500,500,0.03,2
PMit,,,,1
TSKM,,,,1
Not PM,1800,1700,0.09,1
PM,2800,1200,0.12,16
Not PM,1900,200,0.05,3
PM,200,100,-0.06,7
SRPM,100,,-0.24,3
PM,1800,900,0.14,2
Not PM,,,,1
PM,17000,100,0.03,2
Not PM,3100,3100,0.14,3
Not PM,900,200,0.05,6
TSKM,300,100,-0.05,1
Not PM,7400,1700,0.06,6
PMit,1700,400,0.04,1
Not PM,2900,600,0.08,9
SRPM,2800,1100,0.06,3
Not PM,,,0.9,2
PMit,600,500,0.06,2
SRPM,5600,800,-0.01,4
PMit,300,200,0.21,1
SRPM,5800,800,-0.29,10
Not PM,1700,200,0.08,3
PM,3500,,0.03,2
PMit,200,100,0.07,3
Not PM,1200,100,0.06,3
Not PM,,,-0.28,3
TSKM,,,,1
Not PM,800,500,0.1,11
SRPM,,,0.09,2
SRPM,4000,1400,0.06,3
PM,4300,1100,0.03,3
SRPM,1400,400,0.01,15
SRPM,500,100,0.07,3
PMit,600,,0.07,1
Not PM,,,,1
Not PM,1000,2100,0.07,3
Not PM,,,,1
PM,1800,900,0.06,2
SRPM,1000,400,0.11,1
Not PM,1200,900,0.05,2
PM,,,,2
PMit,,,0.1,1
SRPM,4300,2400,0.06,4
Not PM,200,100,-0.04,2
Not PM,400,100,-0.01,1
PMit,400,100,0.08,2
Not PM,2600,1400,0.17,4
PM,700,100,0.19,1
Not PM,200,200,0.23,1
SRPM,,,,1
SRPM,2600,800,0.02,2
PMit,1000,600,0.16,2
Not PM,,,,1
SRPM,2800,900,0.02,7
Not PM,800,100,-0.06,2
PM,800,500,0.01,2
SRPM,2600,400,0.11,2
Not PM,1800,200,0.01,1
PMit,400,,0.03,2
Not PM,,,,1
Not PM,100,100,0.09,1
Not PM,24000,14400,0.05,3
Not PM,25400,11700,0.03,1
Not PM,,,,3
Not PM,900,300,0.03,3
Not PM,30400,1000,-0.04,1
PMit,100,100,0.14,10
SRPM,4900,1900,0.02,4
SRPM,3100,1300,0.06,3
PMit,700,600,0.05,2
SRPM,2800,1300,0.04,3
Not PM,8000,7300,0.2,2
PMit,,,,1
Not PM,,,,1
SRPM,14700,1600,0.14,2
Not PM,,,-1,1
SRPM,2000,400,0.07,4
Not PM,7000,1900,0.08,1
SRPM,200,,-0.01,2
Not PM,2100,1000,0.03,16
Not PM,1400,700,0.06,3
SRPM,1100,600,0.03,5
PM,4800,900,-0.01,8
PM,6100,700,0.1,6
SRPM,1200,300,0.02,3
Not PM,91400,21700,0.03,1
PMit,100,100,0.09,1
SRPM,2400,400,0.04,8
Not PM,,,,2
PM,1600,400,0.17,1
Not PM,1000,300,0.09,6
PM,1900,600,0.05,3
SRPM,9500,1700,0.01,11
SRPM,900,800,0.06,3
Not PM,,,,1
SRPM,2600,1200,0.03,2
PM,100,100,0.08,1
PM,2500,1200,0.07,5
Not PM,10200,3600,0.05,1
Not PM,,,,1
Not PM,2800,1500,0.12,2
SRPM,2100,1100,0.11,5
SRPM,3900,800,0.03,3
SRPM,6200,4600,0.02,1
PMit,600,400,0.06,2
TSKM,2600,400,0.06,2
Not PM,600,300,0.23,1
Not PM,9400,800,-0.02,1
SRPM,1600,700,0.07,3
SRPM,2500,1000,0.03,1
Not PM,3700,1000,0.04,2
Not PM,,,,1
Not PM,64400,8400,0.06,1
SRPM,700,300,0.08,2
SRPM,1600,200,0.05,1
Not PM,800,200,-0.24,1
Not PM,5600,3000,0.05,1
